,Questions,Answers,Label
0,How does the Gita start?,"Its branches spread below and above, nourished by the Gunas; its buds are sense-objects, and its roots stretch forth below in the world of men, originating action.",0
1,How does the Gita start?,"All beings, O Arjuna, go into My Nature at the end of a Kalpa; I send them forth again at the beginning of the next Kalpa.",0
2,How does the Gita start?,"Then, Arjuna, filled with wonder and his hair standing on end, bowed his head to the God and spoke with palms joined.",0
3,How does the Gita start?,"Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.",0
4,"In the Mahabharata war, whom did Duryodhana first talk to?","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
5,"In the Mahabharata war, whom did Duryodhana first talk to?","His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
6,"In the Mahabharata war, whom did Duryodhana first talk to?","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
7,"In the Mahabharata war, whom did Duryodhana first talk to?","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
8,"What did Duryodhana say to his teacher, Drona?","His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
9,"What did Duryodhana say to his teacher, Drona?","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
10,"What did Duryodhana say to his teacher, Drona?","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
11,"What did Duryodhana say to his teacher, Drona?","His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
12,Which warriors from the Pandava army did Duryodhana first talk about?,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",0
13,Which warriors from the Pandava army did Duryodhana first talk about?,"All the sons of Dhritarashtra, along with the hosts of kings of the earth, Bhishma, Drona, and Karna, as well as the chief among our warriors.",0
14,Which warriors from the Pandava army did Duryodhana first talk about?,"Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.",0
15,Which warriors from the Pandava army did Duryodhana first talk about?,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
16,Who was the king from Kashi who fought in the Mahabharata war?,"Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.",0
17,Who was the king from Kashi who fought in the Mahabharata war?,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
18,Who was the king from Kashi who fought in the Mahabharata war?,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
19,Who was the king from Kashi who fought in the Mahabharata war?,"Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.",0
20,Which other warriors from the Pandava army did Duryodhana talk about?,"All the sons of Dhritarashtra, along with the hosts of kings of the earth, Bhishma, Drona, and Karna, as well as the chief among our warriors.",0
21,Which other warriors from the Pandava army did Duryodhana talk about?,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
22,Which other warriors from the Pandava army did Duryodhana talk about?,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",0
23,Which other warriors from the Pandava army did Duryodhana talk about?,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
24,Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
25,Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
26,Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
27,Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
28,Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
29,Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
30,Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
31,Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
32,What did Duryodhana say about the warriors on his side in the Mahabharata war?,"Drona, Bhishma, Jayadratha, Karna, and other brave warriors have already been slain by Me; do not be distressed with fear; fight and you shall conquer your enemies in battle.",0
